1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
526900,1,15.4169221,132,33,17595.40544,8819,531,180533
526901,1,1.592174794,9,0,0.891294825,144,15,30462
526902,0,4.107242324,36,1,11.57887033,5442,156,30587
526903,20,7.092781286,22,0,39.1124596,438,73,4071
526904,0,3.370892203,66,2,3.54604785,2669,97,37956
526905,1,5.143755073,32,8,5.370535276,4678,109,18251
526907,0,4.689523438,45,8,11.09611763,5406,193,35128
526908,12,3.12089527,27,2,10.0170592,6950,196,79897
526909,1,3.748475494,0,1,1.30810068,227,14,1114
526910,1,3.30985267,9,7,13.25717762,10659,292,74459
526911,0,2.041812196,144,8,49.93950355,9058,262,156596
526912,5,5.577316962,115,13,710.2452268,12794,385,71190
526913,2,2.842754635,89,23,11.5074391,3413,149,79467
526914,2,4.019839709,19,0,2.878792118,1057,24,7917
526915,0,2.271304157,37,0,6.66535395,3632,107,31063
526916,1,1.9872967,100,11,26.11379726,4812,255,141968
526917,0,3.781627289,75,3,21.72256793,10468,336,66637
526918,0,2.578119276,2,0,1.110333819,802,15,7555
526919,1,3.86603544,39,4,9.084581364,5742,159,52506
526921,1,2.954148527,34,4,2.963995922,534,67,31636
526922,4,4.452242904,544,30,60739.18271,8032,886,251850
526923,0,4.903871215,15,0,2.992820472,396,32,4474
526924,0,3.341593754,56,4,27.962342,8720,250,53825
526925,1,2.47653489,130,11,7.172894605,3840,178,116187
526927,0,4.090101016,112,3,30.41223858,10877,359,73735
526928,2,4.363821927,7,3,12.32268553,13088,232,41249
526929,2,4.822336396,65,2,13.33376895,5318,203,52142
526930,6,4.231381266,66,1,22.65719019,9124,311,49385
526932,9,4.027712598,16,1,2053.162931,2353,82,16068
526933,0,1.72057289,58,5,37.1453071,1628,49,39470
526934,0,0.16641436,0,0,0,0,0,5004
526935,6,2.448237003,60,28,4.026866496,717,42,35798
526936,0,4.937355993,15,1,6.021435693,6815,126,27608
526937,2,3.715678811,11,2,2.116829123,465,27,11270
526938,1,2.986401401,43,3,6.84577176,1587,87,41835
526939,1,3.114145581,53,1,8.946517891,3473,72,21400
526940,3,3.520998496,24,1,2.421502024,1939,48,13433
526941,8,6.6615332,6,2,3.963857826,633,33,6806
526943,4,3.843658621,58,7,25.07442604,7828,254,43215
526944,0,3.267106245,58,2,10.86614303,3105,117,44484
526945,0,2.831320845,12,18,5.61666407,3344,77,20484
526946,2,3.60605876,160,5,40.98052604,24116,579,119978
526947,1,2.994959397,12,2,3.325601611,2453,64,18838
526948,0,0.22838846,0,0,0,0,0,13924
526949,3,3.501113283,93,1,22.28029752,10230,305,41868
526950,2,3.268011735,19,1,4.320765851,2287,60,9850
526951,2,1.811744162,30,15,24.99261914,1719,47,32358
526952,2,2.625908733,8,4,7.900019218,7666,174,53231
526953,2,4.518913647,44,7,12.33878552,20621,229,60150
526954,5,4.46149367,63,9,13.92977227,4953,194,48802
526955,0,3.728689879,82,66,30.06855882,9199,295,101259
526956,0,4.619667573,14,0,3.913595621,1480,61,10775
526958,0,3.742960299,10,1,4.242577114,3786,60,11745
526959,0,4.758597273,22,2,10.27924659,4745,96,20657
526960,0,2.987793073,1,1,2.891157023,1721,57,26721
526961,1,3.021913149,14,1,5.230745593,2928,109,18130
526962,0,10.46299418,3107,701,229849.9104,57691,5286,294722
526964,1,4.096058036,1,0,0,0,0,1510
526965,1,3.856398953,145,8,25.58339517,9127,370,68504
526966,1,2.821762569,36,1,5.00070921,2723,66,23278
526968,0,2.371236721,27,3,9.135812625,1439,137,31620
526969,1,3.263957071,127,16,20.72636381,8710,286,77994
526970,3,4.398152886,66,5,8.756560182,4007,129,21483
526971,0,3.897655702,32,1,9.270873066,8997,251,48427
526972,1,3.397234709,55,13,12.81054194,11102,299,86001
526973,1,3.221210727,305,9,93135.8363,30425,1270,160872
526974,8,4.606030392,5,10,15.25826335,9341,258,76475
526975,1,3.327247442,21,6,7.156846363,2356,104,67593
526976,4,4.857819816,0,1,1.520302826,595,41,8274
526977,0,3.303680646,19,7,22.874121,15977,446,136024
526978,2,1.892675428,34,0,10.60221875,7525,152,47006
526980,1,3.30550748,32,1,10.98472598,4414,144,28006
526981,2,2.337769551,92,56,41.59475378,7121,159,125340
526982,2,2.844946709,12,2,6.497538532,9565,151,26910
526983,0,4.394999123,123,5,15.81403744,7131,220,52579
526984,0,3.831480434,9,0,3.492832305,1193,34,19979
526985,3,3.573875338,7,0,2.427817564,2725,63,25361
526986,1,4.206734008,84,7,18.38832977,8707,273,48550
526987,0,2.264836469,13,5,0.324982094,106,13,21718
526988,1,4.969014239,1,0,0.791673317,1016,38,4921
526989,6,3.904608138,2,0,4.574417511,1559,56,17466
526990,1,4.510668881,126,9,76.43444406,24719,570,90175
526991,6,3.042913855,120,4,27.17827641,12710,355,77413
526992,0,3.387956513,64,0,14.69964524,8723,220,49831
526993,2,5.100187085,8,0,3.493269179,1488,51,17372
526994,34,6.642988312,44,14,20.31927349,6215,220,22453
526995,1,3.050131557,88,2,22.86043593,14551,304,78914
526996,2,2.482937626,55,13,8.994428747,992,94,63170
527000,1,4.239101583,42,6,15.15739406,8642,247,59007
527001,3,4.119456547,213,21,89.20732918,16453,654,115038
527002,0,2.852937441,110,5,19.46090569,9501,227,73337
527004,5,4.779418976,65,24,7.450112917,3617,116,25254
527005,17,5.581601012,89,9,15.37924935,8562,243,73426
